HITId,WorkerId,Input.image_url,Answer.algorithms.alg1,Answer.algorithms.alg2,Answer.algorithms.none,img_id,img_class,alg1,alg2,nonpruned,2pruned,32pruned,annotation_result
3XT3KXP257KDB6I6JHAGTE3KYWKI65,A3A1PY8GLGYRR5,200_nonpruned_1-dog_32pruned.png,False,True,False,200,1-dog,nonpruned,32pruned,0.0,0.0,1.0,alg2
3XU80RHWI725OCFDF4FX2F9NXNE44S,A2ATYNVWRO9AMQ,181_2pruned_6-garbagetruck_nonpruned.png,False,False,True,181,6-garbagetruck,2pruned,nonpruned,0.0,0.0,0.0,none
38O9DZ0A7A990L44UEPO6YW390N62I,A3NLUAVVZX2RKU,369_32pruned_3-chainsaw_nonpruned.png,False,False,True,369,3-chainsaw,32pruned,nonpruned,0.0,0.0,0.0,none
3RKHNXPHH4IPJCYVF2TVM0WDTMRKUK,A3A1PY8GLGYRR5,256_2pruned_5-frenchhorn_nonpruned.png,False,False,True,256,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
3G4VVJO6Q72CR7QZYGU1CU9EL5ZKPO,A30FOPPL2JP6XE,357_nonpruned_7-gaspump_2pruned.png,False,False,True,357,7-gaspump,nonpruned,2pruned,0.0,0.0,0.0,none
37S0QRNUGJ27QEPH3AVN035X1V5889,A250KKS1WKKUFY,114_2pruned_8-golfball_nonpruned.png,False,False,True,114,8-golfball,2pruned,nonpruned,0.0,0.0,0.0,none
3WGZLY9VDP8J79L8KI63MVJYCM2D8K,A4VGL8HEEEG9P,288_nonpruned_4-church_2pruned.png,False,True,False,288,4-church,nonpruned,2pruned,0.0,1.0,0.0,alg2
3YLTXLH3ENSLPHPRSVR4Z2TMTOVPHP,A1GC6CN3F0IHWN,81_nonpruned_3-chainsaw_32pruned.png,True,False,False,81,3-chainsaw,nonpruned,32pruned,1.0,0.0,0.0,alg1
3OQQD2WO9QSEENVO0FCIMBR0O5I3IK,AV5TLLCULVF0P,224_nonpruned_1-dog_32pruned.png,True,False,False,224,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
3MIVREZQWPKXRJREYT9QCZZOQ1LKQF,A2E1HOTKPZR12R,298_nonpruned_1-dog_2pruned.png,False,False,True,298,1-dog,nonpruned,2pruned,0.0,0.0,0.0,none
3SD15I2WEAGYL30NYE3TP81VFEN63T,A121A9VXAC6JUQ,457_nonpruned_3-chainsaw_2pruned.png,False,False,True,457,3-chainsaw,nonpruned,2pruned,0.0,0.0,0.0,none
368IUKXGBDU5SS5AWC002B4WKAG6P6,A1GC6CN3F0IHWN,363_nonpruned_1-dog_32pruned.png,True,False,False,363,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
3S1L4CQSG5RUOHSJ8ML76MSEENIFA1,A3GCVJINCZ758Y,186_nonpruned_4-church_2pruned.png,True,False,False,186,4-church,nonpruned,2pruned,1.0,0.0,0.0,alg1
31MCUE39CS80IWPTARCF1ZEK9SQ3GS,A121A9VXAC6JUQ,485_2pruned_2-cassetteplayer_nonpruned.png,True,False,False,485,2-cassetteplayer,2pruned,nonpruned,0.0,1.0,0.0,alg1
32TMVRKDHVK67D2FR75AJRPSZ99842,AV5TLLCULVF0P,10_32pruned_5-frenchhorn_nonpruned.png,False,True,False,10,5-frenchhorn,32pruned,nonpruned,1.0,0.0,0.0,alg2
3X878VYTJM4C5FUL1J9NWVQODFCF7A,AKDB2G1IT34PH,367_nonpruned_2-cassetteplayer_32pruned.png,True,False,False,367,2-cassetteplayer,nonpruned,32pruned,1.0,0.0,0.0,alg1
3UY4PIS8RZ7AILS0ARBR3Q8KCKZ1N7,A2QU9LEVX521Y1,294_2pruned_0-fish_nonpruned.png,False,False,True,294,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
3S8APUMBK55Z7RXBE0L31XCKW53FBW,A3NLUAVVZX2RKU,477_nonpruned_0-fish_32pruned.png,True,False,False,477,0-fish,nonpruned,32pruned,1.0,0.0,0.0,alg1
3ZUE82NE1ING5TZ4BO1TAVMJOZIF8X,A2E1HOTKPZR12R,168_32pruned_2-cassetteplayer_nonpruned.png,True,False,False,168,2-cassetteplayer,32pruned,nonpruned,0.0,0.0,1.0,alg1
3NCN4N1H2O3BVJASCO4G92LTYWPNBB,A1C7YB2GB9T6US,70_nonpruned_9-parachute_32pruned.png,False,True,False,70,9-parachute,nonpruned,32pruned,0.0,0.0,1.0,alg2
3UL5XDRDOK5O3W6F5COKOJV6Z54857,A30FOPPL2JP6XE,205_2pruned_4-church_nonpruned.png,False,True,False,205,4-church,2pruned,nonpruned,1.0,0.0,0.0,alg2
375VMB7D5R5CWFXLT4IUZKDCFI7IDX,AV5TLLCULVF0P,55_32pruned_0-fish_nonpruned.png,False,True,False,55,0-fish,32pruned,nonpruned,1.0,0.0,0.0,alg2
3H5TOKO3EH5J3ZJRYS8CZDT1TEJ64E,AJ9IY4IHOGB8,329_32pruned_1-dog_nonpruned.png,True,False,False,329,1-dog,32pruned,nonpruned,0.0,0.0,1.0,alg1
3PZDSVZ3KD3RAKPJX9UT1OFNO48N45,A30FOPPL2JP6XE,171_2pruned_1-dog_nonpruned.png,False,False,True,171,1-dog,2pruned,nonpruned,0.0,0.0,0.0,none
3U18MJKL228U5O2YQO0BKMRBGHPNCI,A2E1HOTKPZR12R,325_nonpruned_7-gaspump_32pruned.png,False,True,False,325,7-gaspump,nonpruned,32pruned,0.0,0.0,1.0,alg2
3H5TOKO3EH5J3ZJRYS8CZDT1TEK46D,AJ9IY4IHOGB8,64_2pruned_7-gaspump_nonpruned.png,False,True,False,64,7-gaspump,2pruned,nonpruned,1.0,0.0,0.0,alg2
3B286OTITM3ATJEFRCCSLKK67UZAJZ,A3GCVJINCZ758Y,448_2pruned_0-fish_nonpruned.png,False,True,False,448,0-fish,2pruned,nonpruned,1.0,0.0,0.0,alg2
3N7PQ0KLJDB2YIT24WMR1WT8WCB3EB,AZULZIWBWRWI5,168_nonpruned_2-cassetteplayer_2pruned.png,False,False,True,168,2-cassetteplayer,nonpruned,2pruned,0.0,0.0,0.0,none
33NOQL7TAWLMAAQ4C0V0DN2104CZ85,A1VTLBEXCBPOOF,56_32pruned_2-cassetteplayer_nonpruned.png,False,True,False,56,2-cassetteplayer,32pruned,nonpruned,1.0,0.0,0.0,alg2
306W7JMRZ6KQSCNO6MFXR5VY91Q8B8,A1C7YB2GB9T6US,488_nonpruned_2-cassetteplayer_32pruned.png,False,False,True,488,2-cassetteplayer,nonpruned,32pruned,0.0,0.0,0.0,none
3L4YG5VWAVEVO4HZ1QHJ8NXZNDZDDQ,A3GCVJINCZ758Y,128_32pruned_0-fish_nonpruned.png,False,True,False,128,0-fish,32pruned,nonpruned,1.0,0.0,0.0,alg2
3A520CCNXVM2I3SNDB11O47E2M3AEE,A30FOPPL2JP6XE,342_2pruned_3-chainsaw_nonpruned.png,False,True,False,342,3-chainsaw,2pruned,nonpruned,1.0,0.0,0.0,alg2
3PIOQ99R868QRIJYCFLBESDHNHWUNZ,A1MEEY4M9GP8BX,279_32pruned_0-fish_nonpruned.png,False,False,True,279,0-fish,32pruned,nonpruned,0.0,0.0,0.0,none
3M47JKRKD5NKM06TAVYPGP96V0F86N,A30FOPPL2JP6XE,171_nonpruned_1-dog_32pruned.png,True,False,False,171,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
3HRWUH63R2O963TJBED36GL1O03N5A,A2E1HOTKPZR12R,269_32pruned_5-frenchhorn_nonpruned.png,False,False,True,269,5-frenchhorn,32pruned,nonpruned,0.0,0.0,0.0,none
37OPIVELV2PE2DJP3C97974RU2VAHU,A3GCVJINCZ758Y,175_32pruned_7-gaspump_nonpruned.png,True,False,False,175,7-gaspump,32pruned,nonpruned,0.0,0.0,1.0,alg1
38B7Q9C29ORK05P3FN43GL4HF6X69A,A3GCVJINCZ758Y,132_2pruned_4-church_nonpruned.png,True,False,False,132,4-church,2pruned,nonpruned,0.0,1.0,0.0,alg1
336OE47KJA6GRRHC96M36XSRU09WVH,A3GCVJINCZ758Y,135_nonpruned_9-parachute_2pruned.png,False,True,False,135,9-parachute,nonpruned,2pruned,0.0,1.0,0.0,alg2
37VHPF5VZKP92HFUKMBS2P1GRMQ8CF,AKDB2G1IT34PH,163_nonpruned_2-cassetteplayer_32pruned.png,True,False,False,163,2-cassetteplayer,nonpruned,32pruned,1.0,0.0,0.0,alg1
356TQKY9YNJ3Q0KYT53HM392QBZ87M,AV5TLLCULVF0P,475_nonpruned_1-dog_32pruned.png,True,False,False,475,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
3FI30CQHWS53OY40D7IZ7RZ73606BK,A21L7K4NROSSF5,366_32pruned_7-gaspump_nonpruned.png,False,True,False,366,7-gaspump,32pruned,nonpruned,1.0,0.0,0.0,alg2
39AYGO6AGN65P7TXGXN8YMZ1KVEN6Q,A250KKS1WKKUFY,373_nonpruned_1-dog_32pruned.png,False,True,False,373,1-dog,nonpruned,32pruned,0.0,0.0,1.0,alg2
3ZXV7Q5FKJAIHWPHS0HYCHI2EQ3FC3,A121A9VXAC6JUQ,472_32pruned_9-parachute_nonpruned.png,True,False,False,472,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
3SCKNODZ152OT772Z7S040ZXF6YN7P,AKDB2G1IT34PH,242_nonpruned_7-gaspump_2pruned.png,False,True,False,242,7-gaspump,nonpruned,2pruned,0.0,1.0,0.0,alg2
32TMVRKDHVK67D2FR75AJRPSZ9A48Z,A250KKS1WKKUFY,314_nonpruned_7-gaspump_32pruned.png,False,True,False,314,7-gaspump,nonpruned,32pruned,0.0,0.0,1.0,alg2
3GVPRXWRQPGWF6WB2RF8ZS3GT74I74,A1MEEY4M9GP8BX,351_2pruned_5-frenchhorn_nonpruned.png,False,False,True,351,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
3P7RGTLO7MZ543KX9XC4MZKJMJZAKY,A2ATYNVWRO9AMQ,328_32pruned_5-frenchhorn_nonpruned.png,False,True,False,328,5-frenchhorn,32pruned,nonpruned,1.0,0.0,0.0,alg2
3CKVGCS3QOR7R9ZNM4ODOFZGUR0S06,A39EZ7V9T25RZO,118_2pruned_5-frenchhorn_nonpruned.png,False,False,True,118,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
3ZUE82NE1ING5TZ4BO1TAVMJOZI8FQ,A1VTLBEXCBPOOF,260_32pruned_9-parachute_nonpruned.png,True,False,False,260,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
39XCQ6V3L6Q1ZINRCXRM45ZFTAE65J,A121A9VXAC6JUQ,146_nonpruned_0-fish_2pruned.png,False,False,True,146,0-fish,nonpruned,2pruned,0.0,0.0,0.0,none
30IRMPJWE75X3K6EB8YQHP9TMNNKRG,AHQ1CS51G68VT,301_nonpruned_8-golfball_2pruned.png,False,False,True,301,8-golfball,nonpruned,2pruned,0.0,0.0,0.0,none
3O0M2G5VDEO6LILPWZBOJNK3JFS49O,A250KKS1WKKUFY,203_2pruned_9-parachute_nonpruned.png,False,True,False,203,9-parachute,2pruned,nonpruned,1.0,0.0,0.0,alg2
3AJA9FLWTKK9UZBHKADKNKGXRVNIF8,A4VGL8HEEEG9P,407_32pruned_0-fish_nonpruned.png,False,True,False,407,0-fish,32pruned,nonpruned,1.0,0.0,0.0,alg2
3UYRNV2KJ1LSTLCL9CK6I0VSQQ4N8C,AJ9IY4IHOGB8,240_2pruned_1-dog_nonpruned.png,True,False,False,240,1-dog,2pruned,nonpruned,0.0,1.0,0.0,alg1
3IHWR4LC8LZ0FK1UCW7EDSZB4RAI8R,A2ATYNVWRO9AMQ,486_2pruned_2-cassetteplayer_nonpruned.png,False,True,False,486,2-cassetteplayer,2pruned,nonpruned,1.0,0.0,0.0,alg2
36MUZ9VAFEO0GAVZXLS3E5FKNP0DEJ,AJ9IY4IHOGB8,318_2pruned_7-gaspump_nonpruned.png,False,False,True,318,7-gaspump,2pruned,nonpruned,0.0,0.0,0.0,none
3QI9WAYOHYX25KL2OT4UXG977UN6SM,A121A9VXAC6JUQ,116_2pruned_8-golfball_nonpruned.png,False,False,True,116,8-golfball,2pruned,nonpruned,0.0,0.0,0.0,none
3M055624406180M8HQQCSSCEDUHNFT,AV5TLLCULVF0P,463_2pruned_4-church_nonpruned.png,False,True,False,463,4-church,2pruned,nonpruned,1.0,0.0,0.0,alg2
3S1L4CQSG5RUOHSJ8ML76MSEENIAFW,A1V70LAP4UDYV6,286_nonpruned_5-frenchhorn_2pruned.png,False,False,True,286,5-frenchhorn,nonpruned,2pruned,0.0,0.0,0.0,none
3INZSNUD98CJLE4IPACHMRE9WSKD99,AV5TLLCULVF0P,28_nonpruned_8-golfball_2pruned.png,False,True,False,28,8-golfball,nonpruned,2pruned,0.0,1.0,0.0,alg2
3OID399FYOTSMOVVSWC9WN0KZQFDF1,AZULZIWBWRWI5,149_2pruned_0-fish_nonpruned.png,False,False,True,149,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
3XQ4XW3OEHYENJ211RSR73SVRPKS2Q,A3DO7XKWE9BAWG,402_2pruned_5-frenchhorn_nonpruned.png,False,False,True,402,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
3N5YJ55YYOP6C9506A4KER1NGE4NAG,AV5TLLCULVF0P,445_nonpruned_9-parachute_2pruned.png,False,False,True,445,9-parachute,nonpruned,2pruned,0.0,0.0,0.0,none
3UQ1LLR27IUGO92FUXO51ZXYBJ4AL1,A1MEEY4M9GP8BX,328_nonpruned_5-frenchhorn_2pruned.png,False,False,True,328,5-frenchhorn,nonpruned,2pruned,0.0,0.0,0.0,none
3909MD9T373XEU9VORNT25I5Z2GFEW,A30FOPPL2JP6XE,424_32pruned_1-dog_nonpruned.png,False,False,True,424,1-dog,32pruned,nonpruned,0.0,0.0,0.0,none
3L1EFR8WX1RGJYIEGG77ARHU850F9M,A3NLUAVVZX2RKU,474_nonpruned_1-dog_32pruned.png,False,True,False,474,1-dog,nonpruned,32pruned,0.0,0.0,1.0,alg2
34OWYT6U4430TPK4HODSDOUMOXSI9G,A2U9OZCL9ULYLZ,349_2pruned_5-frenchhorn_nonpruned.png,False,False,True,349,5-frenchhorn,2pruned,nonpruned,0.0,0.0,0.0,none
3OID399FYOTSMOVVSWC9WN0KZQFFD3,AKDB2G1IT34PH,188_nonpruned_5-frenchhorn_32pruned.png,False,False,True,188,5-frenchhorn,nonpruned,32pruned,0.0,0.0,0.0,none
3PN6H8C9SCCXQXENHGQHIMPT2A2DAO,A30FOPPL2JP6XE,297_nonpruned_7-gaspump_2pruned.png,False,False,True,297,7-gaspump,nonpruned,2pruned,0.0,0.0,0.0,none
3538U0YQ2NGU4WTYZ76XJEE88DQ3FT,A250KKS1WKKUFY,24_nonpruned_6-garbagetruck_2pruned.png,False,True,False,24,6-garbagetruck,nonpruned,2pruned,0.0,1.0,0.0,alg2
3TUOHPJXZPJ8VGM79LNLUIPCABHWXK,AZULZIWBWRWI5,384_32pruned_5-frenchhorn_nonpruned.png,False,False,True,384,5-frenchhorn,32pruned,nonpruned,0.0,0.0,0.0,none
3SV8KD29MCE65BS5LPS33SBSV46KZ9,A3DO7XKWE9BAWG,271_32pruned_6-garbagetruck_nonpruned.png,True,False,False,271,6-garbagetruck,32pruned,nonpruned,0.0,0.0,1.0,alg1
35XW21VSWO0KO5O9BXAWMZR4XPBSLF,A3A1PY8GLGYRR5,46_nonpruned_8-golfball_2pruned.png,False,False,True,46,8-golfball,nonpruned,2pruned,0.0,0.0,0.0,none
3TZ0XG8CC2674J8R82110Z08L1N89Y,A1MEEY4M9GP8BX,428_2pruned_6-garbagetruck_nonpruned.png,False,True,False,428,6-garbagetruck,2pruned,nonpruned,1.0,0.0,0.0,alg2
30Z7M1Q8V66L92IW08F1WUBSRJ58AD,A4VGL8HEEEG9P,296_nonpruned_6-garbagetruck_32pruned.png,False,False,True,296,6-garbagetruck,nonpruned,32pruned,0.0,0.0,0.0,none
3M7OI89LW6AMY3W6R7EUIB5PLR06CR,A1GC6CN3F0IHWN,303_2pruned_0-fish_nonpruned.png,False,False,True,303,0-fish,2pruned,nonpruned,0.0,0.0,0.0,none
335HHSX8DLRC0KM1NM09Z8CXF5SDHZ,AKSJ3C5O3V9RB,412_32pruned_4-church_nonpruned.png,True,False,False,412,4-church,32pruned,nonpruned,0.0,0.0,1.0,alg1
3BVS8WK9R8HJHIZ1F8RO4UPCCXVIBQ,A3A1PY8GLGYRR5,495_nonpruned_2-cassetteplayer_2pruned.png,False,False,True,495,2-cassetteplayer,nonpruned,2pruned,0.0,0.0,0.0,none
3KQC8JMJHKEEISK4UXUXMZQLOS33HR,A21L7K4NROSSF5,374_32pruned_4-church_nonpruned.png,False,True,False,374,4-church,32pruned,nonpruned,1.0,0.0,0.0,alg2
3RWSQDNYMH8PK89RJ27ZKN35B3VFFE,A1GC6CN3F0IHWN,345_nonpruned_1-dog_32pruned.png,True,False,False,345,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
3W1K7D6QTJ35C8OBFCFA4PS28AXZB4,AJ9IY4IHOGB8,322_nonpruned_3-chainsaw_2pruned.png,True,False,False,322,3-chainsaw,nonpruned,2pruned,1.0,0.0,0.0,alg1
3IKDQS3DRMM2RNR7T8NJFEVUUIVICX,A3A1PY8GLGYRR5,182_nonpruned_0-fish_2pruned.png,False,False,True,182,0-fish,nonpruned,2pruned,0.0,0.0,0.0,none
334ZEL5JYE1SUQR6OPQOEGVYSUGSOW,AV5TLLCULVF0P,128_nonpruned_0-fish_2pruned.png,False,False,True,128,0-fish,nonpruned,2pruned,0.0,0.0,0.0,none
31GECDVAAR8XIMN5HG1RWBDFP5P66Z,A1VTLBEXCBPOOF,280_32pruned_8-golfball_nonpruned.png,False,True,False,280,8-golfball,32pruned,nonpruned,1.0,0.0,0.0,alg2
3YCT0L9ONUVAC5RUNAQBZRVT2KBSNH,A121A9VXAC6JUQ,204_nonpruned_6-garbagetruck_2pruned.png,False,False,True,204,6-garbagetruck,nonpruned,2pruned,0.0,0.0,0.0,none
3PUV2Q8SWCQ297JFNUQDDX9ZKSNDBJ,AGA1PIIWM8I8D,9_2pruned_8-golfball_nonpruned.png,False,False,True,9,8-golfball,2pruned,nonpruned,0.0,0.0,0.0,none
3HFWPF5ALH5381YK5R6WQDXNX3KS31,A2O7QNYOK95GPP,465_nonpruned_9-parachute_2pruned.png,True,False,False,465,9-parachute,nonpruned,2pruned,1.0,0.0,0.0,alg1
3IHWR4LC8LZ0FK1UCW7EDSZB4RA8IH,A30FOPPL2JP6XE,87_2pruned_9-parachute_nonpruned.png,False,False,True,87,9-parachute,2pruned,nonpruned,0.0,0.0,0.0,none
3MA5N0ATUKX2BGN0A28W4OHAE22KWJ,A250KKS1WKKUFY,114_32pruned_8-golfball_nonpruned.png,False,False,True,114,8-golfball,32pruned,nonpruned,0.0,0.0,0.0,none
324N5FAHT5XPWRNVKS30IMYW7T0KV9,A250KKS1WKKUFY,112_nonpruned_5-frenchhorn_2pruned.png,False,False,True,112,5-frenchhorn,nonpruned,2pruned,0.0,0.0,0.0,none
3V0TR1NRWIOKQ1VUO5POFIVNPXA4A3,A2ATYNVWRO9AMQ,131_32pruned_7-gaspump_nonpruned.png,False,True,False,131,7-gaspump,32pruned,nonpruned,1.0,0.0,0.0,alg2
3TKXBROM61WPZ1XD30452I8PK24IJB,A4VGL8HEEEG9P,39_32pruned_3-chainsaw_nonpruned.png,False,True,False,39,3-chainsaw,32pruned,nonpruned,1.0,0.0,0.0,alg2
3NFWQRSHWM0VY85MUMDH283HCIVFGD,AV5TLLCULVF0P,31_2pruned_4-church_nonpruned.png,True,False,False,31,4-church,2pruned,nonpruned,0.0,1.0,0.0,alg1
3BO3NEOQN83EY8U99URS9J56UFAAIN,A30FOPPL2JP6XE,299_nonpruned_5-frenchhorn_32pruned.png,True,False,False,299,5-frenchhorn,nonpruned,32pruned,1.0,0.0,0.0,alg1
3KI0JD2ZV94GMM1A0Q6J2PDBKG967Y,A30FOPPL2JP6XE,295_nonpruned_9-parachute_2pruned.png,True,False,False,295,9-parachute,nonpruned,2pruned,1.0,0.0,0.0,alg1
31J7RYEC0TCKULPFYEVCQY4V7PYL1O,A121A9VXAC6JUQ,478_nonpruned_3-chainsaw_32pruned.png,True,False,False,478,3-chainsaw,nonpruned,32pruned,1.0,0.0,0.0,alg1
3IJ95K7NE5Y7M0I3SAWUADCQE9HNGS,A1796F2LPD1FCL,494_nonpruned_2-cassetteplayer_2pruned.png,False,False,True,494,2-cassetteplayer,nonpruned,2pruned,0.0,0.0,0.0,none
3WJGKMRWWQVLJCBL1UM8OHFH2DNDCQ,AV5TLLCULVF0P,436_nonpruned_9-parachute_32pruned.png,False,True,False,436,9-parachute,nonpruned,32pruned,0.0,0.0,1.0,alg2
3ZQA3IO32JDS06SCB6B4IF8P2U41OM,A1MEEY4M9GP8BX,119_nonpruned_3-chainsaw_2pruned.png,False,True,False,119,3-chainsaw,nonpruned,2pruned,0.0,1.0,0.0,alg2
3M47JKRKD5NKM06TAVYPGP96V0F68L,AKJ22H1NTVIQX,183_nonpruned_1-dog_32pruned.png,True,False,False,183,1-dog,nonpruned,32pruned,1.0,0.0,0.0,alg1
31N9JPQXJX4LMWDECGECVDORT9UNHR,AV5TLLCULVF0P,90_2pruned_3-chainsaw_nonpruned.png,False,True,False,90,3-chainsaw,2pruned,nonpruned,1.0,0.0,0.0,alg2
3WGZLY9VDP8J79L8KI63MVJYCM28DF,A3A1PY8GLGYRR5,214_nonpruned_3-chainsaw_2pruned.png,True,False,False,214,3-chainsaw,nonpruned,2pruned,1.0,0.0,0.0,alg1
3SBNLSTU72RYR5MVT86GZFG2BV9ZDB,AKDB2G1IT34PH,482_nonpruned_8-golfball_2pruned.png,False,False,True,482,8-golfball,nonpruned,2pruned,0.0,0.0,0.0,none
3O4VWC1GF4SA9YFUIXXIYC601K73JW,A3BGF5KQL2LINK,102_nonpruned_6-garbagetruck_2pruned.png,True,False,False,102,6-garbagetruck,nonpruned,2pruned,1.0,0.0,0.0,alg1
3P6ENY9P8HIT8V2NF01KQ5SA7A0IH6,AV5TLLCULVF0P,52_32pruned_7-gaspump_nonpruned.png,True,False,False,52,7-gaspump,32pruned,nonpruned,0.0,0.0,1.0,alg1
37SOB9Z0T0JG4O3ULI9VERJS59CL3G,A3A1PY8GLGYRR5,20_nonpruned_0-fish_32pruned.png,True,False,False,20,0-fish,nonpruned,32pruned,1.0,0.0,0.0,alg1
3RWO3EJEMPVAL64DQ6OJ7FDFCZ01P3,A30FOPPL2JP6XE,477_nonpruned_0-fish_2pruned.png,False,False,True,477,0-fish,nonpruned,2pruned,0.0,0.0,0.0,none
3JMQI2OLG7R4AG8CQKVM4S9T1H1NDI,A1GC6CN3F0IHWN,262_nonpruned_9-parachute_2pruned.png,True,False,False,262,9-parachute,nonpruned,2pruned,1.0,0.0,0.0,alg1
3HYV4299I8IOZFZ8GDHNSD1JCY38E8,A30FOPPL2JP6XE,170_nonpruned_4-church_2pruned.png,False,True,False,170,4-church,nonpruned,2pruned,0.0,1.0,0.0,alg2
39HYCOOPLW7YSYNCEJGMRDKTWRRDM8,A3GCVJINCZ758Y,465_32pruned_9-parachute_nonpruned.png,True,False,False,465,9-parachute,32pruned,nonpruned,0.0,0.0,1.0,alg1
